id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,supplier_id,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable
,131A-10-A,6342211102,CUSHION MODIFIED,2.01,F,SI1,-,EX,VG,FNT,,6.95,6.74,4.91,72.9,57,None,GIA,THK to ETK,,,,,Paladiya Brothers & co,e6c24977-7efd-4b1c-95c4-1aca4bed604a,-49.43%,10823,5384.48,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6342211102.pdf,,,,HK,N
,G453-140982,6352340091,ROUND,0.47,K,VVS1,VG,VG,EX,NON,,4.9,4.93,3.1,63,57,None,GIA,MED to STK,100%,Not brown,,,Shivam Jewels,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,-36.00%,571,1215.83,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352340091.pdf,,,,IN,N
,G453-141089,6352339796,ROUND,0.4,J,VVS2,EX,EX,EX,NON,,4.79,4.81,2.85,59.4,60,None,GIA,MED to STK,100%,Not brown,,,Shivam Jewels,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,-36.32%,514,1284.93,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352339796.pdf,,,,IN,N
,LD20022661,1348947078,ROUND,0.31,E,IF,EX,EX,EX,FNT,,4.34,4.32,2.72,62.7,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-43.00%,525,1692.77,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/0f0ef02d-d7aa-48ae-a308-74ce4f969182.jpg,,,,,IN,N
,LD20022744,7343945770,ROUND,0.45,H,VVS1,EX,EX,EX,NON,,4.96,4.93,3.01,60.9,60,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,523f5320-903b-4939-8f99-c88e0d49c77b,-23.05%,861,1913.47,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/d8cc3c91-944d-47e2-b49c-4e41ba2dbee9.jpg,,,,,IN,N
,261-46,1358262647,PRINCESS,1.51,J,SI1,-,EX,EX,NON,,6.5,6.25,4.46,71.3,72,None,GIA,MED to THK,100%,Not brown,Not green,Not milky,Narola Gems,e9f9f355-789c-4cb2-869a-4a02587576a7,-44.23%,3885,2572.52,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f0e18b73-c962-456b-bdba-d84e9f608fee.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1358262647.pdf,,,,IN,N
,SJ-52334,1343275432,ROUND,1.03,J,SI1,EX,EX,EX,NON,,6.56,6.57,3.92,59.7,60,None,GIA,MED,80%,Not brown,,,Shivam Jewels,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,-34.29%,3399,3300.28,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ce3fbc41-5320-479c-a7fb-b1e83c06aeab.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1343275432.pdf,,,,HK,N
,G453-141141,6352339830,ROUND,0.4,J,VVS1,EX,EX,EX,NON,,4.82,4.84,2.85,59,60,None,GIA,THN to MED,100%,Not brown,,,Shivam Jewels,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,-37.55%,530,1324,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352339830.pdf,,,,IN,N
,SJ-52352,2346967154,ROUND,1.01,F,SI1,VG,EX,VG,NON,,6.25,6.33,4.01,63.8,57,None,GIA,MED to THK,90%,Not brown,,,Shivam Jewels,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,-51.56%,3661,3624.52,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/0e658a74-504b-4174-9adb-9073c9d81b70.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2346967154.pdf,,,,HK,N
,41508,1348643770,ROUND,0.27,D,SI2,EX,VG,EX,MED,Blue,4.16,4.12,2.59,62.5,55,NON,GIA,THN to STK,,,,,Honey Exports,72049570-7cc1-4b52-afd0-a0251e6485b0,0.00%,262,971.11,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/83295b8f-99b3-4df2-afb4-7ec1e6ffcfe6.jpg,https://1210295089.rsc.cdn77.org/Certificates/1348643770.pdf,,,,IN,N
