id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,lwratio,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id,created_at,updated_at,deleted_at
15,DQ-8,7338890251,ROUND,2.00,D,SI1,VG,EX,VG,NON,,,8.04,7.98,4.99,62.3,59,NON,GIA,MED to STK,100%,Not brown,Not green,,-45.00%,15950.00,7975.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/10/16/7338890251.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
16,DG1-1B,1328748128,HEART,2.01,D,SI1,-,EX,VG,NON,,,7.58,8.81,5.16,58.6,61,None,GIA,STK to VTK,100%,Not brown,Not green,,-39.00%,14713.20,7320.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/fc67aa44-58d2-4df9-a90c-6242156a4cdb.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1328748128.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
17,DJ1-4E,1339069109,PEAR,2.00,E,VS1,-,EX,VG,NON,,,10.73,7.09,4.14,58.4,62,None,GIA,THK to ETK,100%,Not brown,Not green,,-33.00%,20100.00,10050.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/4900309b-69e3-443a-9f87-0065ae959afb.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1339069109.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
18,CE1-11,2337588532,MARQUISE,2.01,H,SI1,-,VG,G,NON,,,14.34,5.54,2.7,48.7,60,None,GIA,STK to ETK,100%,Not brown,Not green,,-59.91%,7332.86,3648.19,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/0G1bJaIKwI.mp4,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2337588532.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
19,DM1-12A,2337773522,PEAR,0.60,J,IF,-,EX,EX,FNT,,,7.72,4.8,2.83,58.9,57,None,GIA,STK to THK,100%,Not brown,Not green,,-35.00%,819.00,1365.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/2e9e081c-e509-4c22-a2e4-75a1e4da692d.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2337773522.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
20,DF-6A,2324693623,HEART,1.01,J,SI2,-,EX,VG,NON,,,5.75,7.01,4.21,60.1,61,None,GIA,THK to VTK,100%,Not brown,Not green,,-42.00%,1874.56,1856.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/62d8cc1c-8c8f-4a66-8617-8565828cb28e.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2324693623.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
21,DR5-3C,2347123854,ROUND,1.01,K,I1,EX,EX,EX,NON,,,6.44,6.46,3.96,61.4,58,None,GIA,MED to STK,100%,Not brown,Not green,,-24.00%,2226.04,2204.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347123854.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
22,DK-15,5336108216,PEAR,0.40,I,SI1,-,VG,VG,NON,,,6.68,4.2,2.46,58.6,58,None,GIA,THK to VTK,100%,Not brown,Not green,,-38.00%,347.20,868.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/55276ab7-3961-440a-9413-a73325148665.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5336108216.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
23,DG1-2N,6321535445,PEAR,0.80,F,VVS1,-,EX,VG,FNT,,,8.03,4.98,3.46,69.4,57,None,GIA,STK to THK,100%,Not brown,Not green,,-40.00%,2112.00,2640.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/0f74b9e9-8438-45ea-8a9a-ccbcdbb34eeb.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6321535445.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
24,DF-17A,6325607558,PEAR,0.70,H,SI1,-,EX,G,NON,,,8.01,4.91,2.98,60.7,47,None,GIA,MED to VTK,100%,Not brown,Not green,,-45.00%,1116.50,1595.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6325607558.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
