ID,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble
3809,G2040,6301005963,ROUND,0.40,F,I1,VG,EX,EX,FNT,,4.64,4.68,2.98,63.90,58.00,NON,GIA,MEDIUM THICK,75%,Not brown,Not green,Not milky,unknown,-44.19%,357.18,892.95,,,http://www.bbipinexport.com/diamondimage/Realimage/G2040.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G2040.pdf,,
3810,800122-GBR,6332245888,MARQUISE,0.40,D,VVS1,-,EX,VG,MED,,8.4,3.9,2.06,52.90,65.00,NON,GIA,VTK,100%,,,,unknown,-59.20%,505.92,1264.80,,,http://220.158.137.43/imaged/800122/still.jpg,true,,
3811,43252-GD,7301510952,ROUND,0.40,J,VVS1,EX,EX,VG,NON,,4.72,4.69,2.95,62.6,57,NON,GIA,THN to MED,100%,,,,unknown,-48.10%,435.96,1089.90,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9zZWdvbWEuY29tL3YuYXNweD90eXBlPXZpZXcmaWQ9OThGU1NTNUdUVA==,64,http://220.158.137.43/imaged/43252/still.jpg,true,,
3812,62447-ICC,345852762,ROUND,0.40,D,SI1,VG,GD,VG,NON,,4.75,4.77,2.82,59.20,59.50,,IGI,SLIGHTLY THICK,,,,,unknown,-52.40%,476.00,1190.00,,,http://220.158.137.43/imaged/62447/still.jpg,true,,
3813,168549,2256375177,ROUND,0.40,E,VS2,VG,EX,EX,MED,Blue,4.66,4.64,2.97,63.7,57,NON,GIA,MED to THK,,Not brown,Not green,,unknown,-42.44%,621.69,1554.23,,,,true,,
3814,G1296,5273992270,ROUND,0.40,E,I1,EX,EX,VG,NON,,4.71,4.69,2.95,62.8,57,NON,GIA,THN to STK,80%,Not brown,Not green,Not milky,unknown,-41.12%,400.38,1000.95,,,http://www.bbipinexport.com/diamondimage/Realimage/G1296.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G1296.pdf,,
3815,L261014501,7331695198,ROUND,0.40,K,VVS2,VG,VG,GD,STG,Blue,4.66,4.59,2.97,64.3,55,NON,GIA,MED to STK,100%,,,Not milky,unknown,-62.39%,270.80,677.00,,,,http://www.pkstone.co.in/PK/CERTI/7331695198.jpg,,
3816,43521-GB,7308649080,ROUND,0.40,J,VS1,VG,EX,GD,FNT,,4.62,4.51,2.96,64.8,58,NON,GIA,THN to THK,100%,,,,unknown,-50.40%,376.96,942.40,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9zZWdvbWEuY29tL3YuYXNweD90eXBlPXZpZXcmaWQ9TEFROVNUNVhKQg==,64,http://220.158.137.43/imaged/43521/still.jpg,true,,
3817,L294003702,2357051782,ROUND,0.40,F,VS1,VG,VG,VG,NON,,4.73,4.66,2.86,60.9,63,NON,GIA,MED to THK,100%,Not brown,Not green,Not milky,unknown,-43.56%,609.60,1524.00,,,,,,
3818,SARADIAMONDSPRIVATELIMITED196550,6342078887,ROUND,0.40,I,SI1,EX,EX,EX,NON,,4.76,4.74,2.93,61.6,57,NON,GIA,THN to MED,,,,,unknown,-45.00%,418.00,1045.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/11/6/6342078887.pdf,,
3819,560467,7238151874,ROUND,0.40,E,VS2,EX,VG,EX,NON,,4.71,4.70,2.91,61.9,59,NON,GIA,THN to STK,,Not brown,Not green,,unknown,-39.41%,654.33,1635.83,,,,true,,
3820,620900605,2346628175,ROUND,0.40,L Faint Brown,VS1,EX,EX,EX,STG,Blue,4.79,4.76,2.87,60.1,61,NON,GIA,MED,100%,Light Brown,,Not milky,unknown,-48.53%,308.80,772.00,,,,http://www.pkstone.co.in/PK/CERTI/2346628175.jpg,,
3821,SARADIAMONDSPRIVATELIMITED201154,5346515087,ROUND,0.40,G,SI2,EX,EX,EX,NON,,4.71,4.68,2.95,62.8,56,NON,GIA,THN to STK,,,,,unknown,-35.00%,494.00,1235.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/1/7/5346515087.pdf,,
3822,102922-GBX,1337142880,ROUND,0.40,G,SI1,VG,GD,GD,NON,,4.65,4.62,2.95,63.60,58.00,NON,GIA,THK,,,,,unknown,-46.80%,446.88,1117.20,,,http://220.158.137.43/imaged/102922/still.jpg,true,,
3823,201192-GB,2347547297,ROUND,0.40,F,VVS2,VG,EX,VG,NON,,4.64,4.58,2.95,64.1,58,NON,GIA,STK to THK,100%,,,,unknown,-43.50%,678.00,1695.00,,,http://220.158.137.43/imaged/201192/still.jpg,true,,
3824,G2522,6315198088,ROUND,0.40,J,VVS2,EX,EX,EX,NON,,4.75,4.74,2.91,61.3,60,NON,GIA,STK,100%,,Light Green,,unknown,-41.00%,472.00,1180.00,,,http://www.bbipinexport.com/diamondimage/Realimage/G2522.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G2522.pdf,,
3825,G2806,1323167849,PEAR,0.40,D,VVS2,-,EX,VG,NON,,6.68,4.05,2.48,61.20,55.00,NON,GIA,MEDIUM VERY THICK,100%,Not brown,Not green,Not milky,unknown,-39.09%,682.19,1705.48,,,http://www.bbipinexport.com/diamondimage/Realimage/G2806.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G2806.pdf,,
3826,SARADIAMONDSPRIVATELIMITED201605,2344586277,ROUND,0.40,J,VVS1,EX,EX,EX,FNT,,4.80,4.79,2.92,60.9,58,NON,GIA,MED,,,,,unknown,-36.00%,537.60,1344.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/1/15/2344586277.pdf,,
3827,SARADIAMONDSPRIVATELIMITED200854,2346515098,ROUND,0.40,J,VS1,GD,VG,EX,NON,,4.62,4.61,2.95,63.8,63,NON,GIA,THK,100%,,,,unknown,-43.00%,433.20,1083.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/1/7/2346515098.pdf,,
3828,G2935,1348939574,OVAL,0.40,H,SI1,-,EX,VG,MED,Blue,5.94,4.18,2.48,59.5,62,NON,GIA,VTK,100%,Not brown,Not green,Not milky,unknown,-35.09%,415.42,1038.55,,,http://ozonediam.com/Account/DNAPage?packetno=PG2935,,,
3829,58098-GE,2327467297,ROUND,0.40,K,VS1,EX,EX,EX,MED,,4.71,4.68,2.93,62.50,58.00,NON,GIA,STK,100%,,,,unknown,-50.00%,340.00,850.00,,,http://220.158.137.43/imaged/58098/still.jpg,true,,
3830,L291020001,1347997925,ROUND,0.40,F,VVS2,EX,EX,EX,NON,,4.74,4.70,2.94,62.2,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,unknown,-27.70%,867.60,2169.00,,,,,,
3831,G2138,1303493318,PEAR,0.40,H,SI2,-,EX,VG,NON,,6.16,4.07,2.54,62.40,58.00,NON,GIA,THICK VERY THICK,80%,,Light Green,,unknown,-43.09%,318.70,796.75,,,http://www.bbipinexport.com/diamondimage/Realimage/G2138.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G2138.pdf,,
3832,SARADIAMONDSPRIVATELIMITED202168,7343755409,ROUND,0.40,I,VS1,GD,EX,VG,NON,,4.71,4.68,2.91,62.1,50,VSM,GIA,STK to THK,100%,,,,unknown,-44.00%,492.80,1232.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/1/30/7343755409.pdf,,
3833,G1687,2294069800,ROUND,0.40,I,VS2,EX,EX,VG,NON,,4.73,4.69,2.88,61.1,59,NON,GIA,STK,100%,Brown,,,unknown,-45.00%,462.00,1155.00,,,http://www.bbipinexport.com/diamondimage/Realimage/G1687.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G1687.pdf,,
3834,SARADIAMONDSPRIVATELIMITED202742,5201777623,ROUND,0.40,G,VS1,GD,VG,GD,NON,,4.63,4.59,2.93,63.6,59,NON,GIA,STK to VTK,,,,,unknown,-46.00%,561.60,1404.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/12/6/5201777623.pdf,,
3835,63703-GCW,2205359338,ROUND,0.40,G,VS2,VG,VG,GD,NON,,4.65,4.52,2.97,64.80,56.00,NON,GIA,THK,90%,,,,unknown,-47.30%,527.00,1317.50,,,http://220.158.137.43/imaged/63703/still.jpg,true,,
3836,SARADIAMONDSPRIVATELIMITED202394,6345838890,ROUND,0.40,J,SI1,EX,VG,EX,MED,Blue,4.80,4.78,2.86,59.8,59,NON,GIA,MED,,,,,unknown,-38.00%,421.60,1054.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/2/6/6345838890.pdf,,
3837,64168-GB,6207359290,ROUND,0.40,F,VS2,GD,VG,GD,MED,,4.62,4.58,3,65.30,55.00,NON,GIA,THK,,,,,unknown,-52.50%,494.00,1235.00,,,http://220.158.137.43/imaged/64168/still.jpg,true,,
3838,SARADIAMONDSPRIVATELIMITED201345,2347472383,ROUND,0.40,J,SI1,VG,GD,EX,NON,,4.73,4.68,2.97,63.0,56,NON,GIA,MED to STK,,,,,unknown,-49.00%,346.80,867.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/1/9/2347472383.pdf,,
3839,623412002,3345792841,ROUND,0.40,J,VS1,EX,EX,VG,FNT,,4.69,4.76,2.92,61.7,60,,GIA,Slight Thick,100%,Not brown,Not green,Not milky,unknown,-38.37%,468.40,1171.00,,,,http://www.pkstone.co.in/PK/CERTI/3345792841.jpg,,
3840,202453-GB,2357040413,ROUND,0.40,F,SI2,EX,EX,VG,NON,,4.72,4.67,2.93,62.3,58,NON,GIA,MED to STK,,,,,unknown,0.00%,760.00,1900.00,,,http://220.158.137.43/imaged/202453/still.jpg,,,
3841,G1980,7298804847,ROUND,0.40,I,SI1,EX,VG,EX,FNT,,4.71,4.73,2.95,62.50,55.00,NON,GIA,MEDIUM SL. THICK,100%,,Light Green,,unknown,-47.47%,399.23,998.08,,,http://www.bbipinexport.com/diamondimage/Realimage/G1980.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G1980.pdf,,
3842,G1572,6285710812,ROUND,0.40,K,VVS1,EX,EX,VG,FNT,,4.73,4.68,2.93,62.3,59,NON,GIA,STK,100%,Not brown,Not green,Not milky,unknown,-46.05%,410.02,1025.05,,,http://www.bbipinexport.com/diamondimage/Realimage/G1572.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G1572.pdf,,
3843,SARADIAMONDSPRIVATELIMITED200672,2346348668,ROUND,0.40,G,VS2,VG,VG,VG,MED,Blue,4.82,4.80,2.84,59.0,64,NON,GIA,MED to STK,,,,,unknown,-42.00%,580.00,1450.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/12/18/2346348668.pdf,,
3844,SARADIAMONDSPRIVATELIMITED202884,2205778382,ROUND,0.40,G,VS2,GD,EX,EX,NON,,4.59,4.57,2.90,63.3,61,NON,GIA,THK to VTK,,,,,unknown,-47.00%,530.00,1325.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/12/6/2205778382.pdf,,
3845,L292023501,1353026251,ROUND,0.40,H,VS1,VG,EX,VG,NON,,4.62,4.58,2.94,64.0,57,NON,GIA,THN to THK,100%,Not brown,Not green,Not milky,unknown,-37.21%,602.80,1507.00,,,,,,
3846,L292005901,2357022913,ROUND,0.40,H,VVS1,VG,EX,GD,NON,,4.57,4.64,2.96,64.4,53,,GIA,Thick,100%,Not brown,Not green,Not milky,unknown,-43.46%,588.00,1470.00,,,,,,
3847,G2883,7326692791,PEAR,0.40,D,VVS1,-,EX,GD,NON,,6.73,4.13,2.38,57.6,62,NON,GIA,THK to VTK,100%,Not brown,Not green,Not milky,unknown,-45.09%,680.88,1702.20,,,http://www.bbipinexport.com/diamondimage/Realimage/G2883.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G2883.pdf,,
3848,SARADIAMONDSPRIVATELIMITED202738,2205777671,ROUND,0.40,G,VS1,GD,EX,VG,NON,,4.62,4.59,2.96,64.2,56,NON,GIA,MED to THK,100%,,,,unknown,-46.00%,561.60,1404.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/12/6/2205777671.pdf,,
3849,G2908,6331070685,OVAL,0.40,G,VVS2,-,EX,VG,MED,,6.10,4.26,2.48,58.30,62.00,NON,GIA,MEDIUM THICK,100%,Not brown,Not green,Not milky,unknown,-43.09%,523.57,1308.93,,,http://ozonediam.com/Account/DNAPage?packetno=BG2908,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/6/18/6331070685.pdf,,
3850,413373,1245875518,ROUND,0.40,E,VS2,EX,EX,EX,MED,Blue,4.70,4.68,2.93,62.5,57,NON,GIA,STK,,Not brown,Not green,,unknown,-38.40%,665.28,1663.20,,,,true,,
3851,SARADIAMONDSPRIVATELIMITED200787,2346376041,ROUND,0.40,I,VVS2,GD,VG,GD,FNT,,4.72,4.68,2.90,61.6,63,NON,GIA,STK to VTK,,,,,unknown,-43.00%,524.40,1311.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/12/23/2346376041.pdf,,
3852,623302303,5346727737,ROUND,0.40,F,SI1,VG,VG,VG,NON,,4.81,4.84,2.85,59.1,65,,GIA,Slight Thick,100%,Not brown,Not green,Not milky,unknown,-43.32%,498.80,1247.00,,,,http://www.pkstone.co.in/PK/CERTI/5346727737.jpg,,
3853,L292012301,1353023411,ROUND,0.40,F,VVS1,GD,EX,VG,NON,,4.54,4.47,3.02,66.9,61,NON,GIA,THK to VTK,100%,Not brown,Not green,Not milky,unknown,-46.00%,712.80,1782.00,,,,,,
3854,776215,6251224722,ROUND,0.40,H,VVS2,EX,VG,EX,NON,,4.71,4.70,2.93,62.2,58,NON,GIA,MED to STK,100%,Not brown,Not green,,unknown,-35.20%,647.98,1619.95,,,,true,,
3855,622304302,3345919821,PEAR,0.40,D,VVS1,-,EX,VG,NON,,4.17,6.2,2.65,63.4,58,,GIA,Very Thick,100%,Not brown,Not green,Not milky,unknown,-49.39%,627.60,1569.00,,,http://www.pkstone.co.in/PK/bwcopy/622304302B.jpg,,,
3856,G1993,5296880079,ROUND,0.40,J,SI1,VG,EX,EX,FNT,,4.61,4.63,2.97,64.30,58.00,NON,GIA,MEDIUM THICK,80%,Brown,,,unknown,-47.35%,358.02,895.05,,,http://www.bbipinexport.com/diamondimage/Realimage/G1993.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G1993.pdf,,
3857,SARADIAMONDSPRIVATELIMITED201938,3345637518,ROUND,0.40,F,SI2,VG,EX,VG,NON,,4.72,4.70,2.94,62.5,60,NON,GIA,STK to THK,,,,,unknown,-36.00%,486.40,1216.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/1/22/3345637518.pdf,,
3858,SARADIAMONDSPRIVATELIMITED202099,6341755483,ROUND,0.40,F,SI2,GD,EX,GD,NON,,4.66,4.63,2.95,63.6,62,NON,GIA,STK to VTK,,,,,unknown,-43.00%,433.20,1083.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/1/30/6341755483.pdf,,
3859,SARADIAMONDSPRIVATELIMITED201092,2347472299,ROUND,0.40,F,SI2,VG,EX,EX,NON,,4.82,4.79,2.86,59.6,64,NON,GIA,MED to STK,,,,,unknown,-39.00%,463.60,1159.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/1/3/2347472299.pdf,,
3860,202271-GEW,6342999531,ROUND,0.40,G,SI2,EX,EX,VG,NON,,4.72,4.68,2.92,62.1,58,NON,GIA,MED to STK,,,,,unknown,-46.00%,410.40,1026.00,,,http://220.158.137.43/imaged/202271/still.jpg,,,
3861,L292031401,1348947054,ROUND,0.40,G,SI1,VG,EX,VG,NON,,4.55,4.63,2.94,64,57,,GIA,Thick,100%,Not brown,Not green,Not milky,unknown,-37.81%,522.40,1306.00,,,,,,
3862,G2413,3315080725,ROUND,0.40,K,VS2,VG,EX,VG,FNT,,4.56,4.62,2.94,64.10,58.00,NON,GIA,SL. THICK THICK,100%,Brown,,,unknown,-48.87%,327.23,818.08,,,http://www.bbipinexport.com/diamondimage/Realimage/G2413.jpg,http://www.bbipinexport.com/diamondimage/certiimage/gia/G2413.pdf,,
3863,SARADIAMONDSPRIVATELIMITED200853,1343467436,ROUND,0.40,G,VS1,EX,EX,EX,FNT,,4.71,4.69,2.91,61.9,60,NON,GIA,STK,,,,,unknown,-43.00%,592.80,1482.00,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2020/1/3/1343467436.pdf,,
