id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id,
,G421-136290,2347984178,ROUND,1,H,SI2,VG,EX,VG,NON,,6.37,6.42,3.89,60.8,61,None,GIA,THN to THK,75%,Not brown,,,Shivam Jewels,-45.47%,2962,2962.34,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/4e8a7180-75a5-473f-a892-91017c69b122.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347984178.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,
,80530,1353133701,ROUND,2.07,E,VS1,EX,EX,EX,NON,,8.08,8.14,5.07,62.5,57,None,GIA,MED to STK,100%,Not brown,,Not milky,Sagar Enterprise,-41.96%,23578,11390.24,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/c71f2a5f-1ec6-4cc6-8b01-58b7a8f33c64.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1353133701.pdf,,,,HK,N,e8af6b4d-0eb8-49f9-869b-c5420a3a0cea,
,G401-132394,2347581539,ROUND,1,H,SI1,EX,VG,VG,NON,,6.3,6.4,3.97,62.5,59,None,GIA,THN to STK,80%,Not brown,,,Shivam Jewels,-42.00%,3745,3745.35,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/efec507e-5530-4409-bc5f-2e7e19c5b0f3.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347581539.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,
,G427-137667,2357186221,PEAR,1,I,SI2,-,VG,G,NON,,9.11,5.27,3.4,64.5,57,None,GIA,MED to ETK,90%,Not brown,,,Shivam Jewels,-48.00%,2025,2025.4,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/03649f10-f717-4172-ad17-1e5c2c9bda93.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357186221.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,
,G431-138259,1359289462,ROUND,0.5,H,SI2,EX,VG,VG,NON,,5.12,5.16,3.05,59.2,62,None,GIA,MED to STK,85%,Not brown,,,Shivam Jewels,-37.00%,755,1509,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/e3c7a7c5-af40-49d4-99c3-438d3ec3dd21.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1359289462.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,
,LD200110593,6342805693,PEAR,0.51,D,VS2,-,VG,VG,NON,,7.02,4.43,2.75,62.1,58,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,Laxmi,-40.00%,887,1738.82,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/8e55684e-be38-47d5-bc31-0af16d138c3b.jpg,https://certifiedstone.info/certificate/LD200110593.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD200110151,2347791090,ROUND,0.26,E,VS1,EX,EX,EX,NON,,4.04,4.06,2.55,62.9,57,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,5.00%,409,1574.92,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ad77436d-f11f-4546-84d3-9a4ff45d8c06.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347791090.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,LD200110701,7346816787,ROUND,0.5,I,VVS2,EX,EX,EX,NON,,5.05,5.09,3.18,62.6,58,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-39.00%,915,1829,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/4d89abc0-a442-474f-8008-6a5aedc9f603.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7346816787.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,
,323E-58-A,5346051098,EMERALD,0.61,D,SI1,-,VG,EX,NON,,5.5,4.06,2.79,68.6,62,None,GIA,THK to VTK,,,,,Paladiya Brothers & co,-44.22%,881,1443.69,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5346051098.pdf,,,,IN,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a,
,363C-111-A,1345420986,ROUND,0.8,K,VVS1,VG,EX,VG,MED,Blue,5.74,5.81,3.73,64.7,56,None,GIA,STK to THK,100%,,,,Paladiya Brothers & co,-34.46%,1505,1881,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1345420986.pdf,,,,IN,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a,
