id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,lwratio,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id,created_at,updated_at,deleted_at
23,DR2-2J,1349200880,ROUND,1,E,SI2,EX,VG,VG,NON,,,6.4,6.37,3.94,61.7,60,NON,GIA,MED to STK,100%,Not brown,Not green,,-44.00%,3472,3472,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/9d15b3f5-8458-4f6a-be70-38896efcd70a.jpg,https://www.gia.edu/report-check?reportno=1349200880,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
32,DR2-1,6342370051,PEAR,2,E,SI1,-,EX,EX,NON,,,11.27,7.07,4.22,59.7,62,NON,GIA,STK to VTK,100%,Not brown,Not green,,-31.91%,15660.7,7830.35,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/8475741d-cc6e-4438-8196-6e1d2501be4e.jpg,https://www.gia.edu/report-check?reportno=6342370051,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
33,DJ1-3E,7331073794,PEAR,1,E,VVS2,-,EX,VG,NON,,,8.71,5.44,3.47,63.8,60,None,GIA,THK to VTK,100%,Not brown,Not green,,-40.00%,4680,4680,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/c3d913ff-8d43-4071-8b84-0baf7a05e6a2.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7331073794.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
34,DR1-4B,6345123874,ROUND,2.5,F,SI2,EX,EX,EX,STG,Blue,,8.71,8.65,5.35,61.6,60,NON,GIA,MED to STK,100%,Not brown,Not green,,-36.00%,16000,6400,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/71e91d8f-358c-4866-9510-367b592f1447.jpg,https://www.gia.edu/report-check?reportno=6345123874,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
114,EH3-49,425072875,ROUND,0.71,N,VS1,EX,EX,EX,NON,,,5.82,5.84,3.45,59.1,59.5,POINTED,IGI,THN to MED,100%,,,,-47.00%,790.23,1113,,,,https://www.igi.org/viewpdf.php?r=425072875,,,African star (hk) ltd,,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
