id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
41375,201706402,1358094726,ROUND,1,J,I2,VG,EX,VG,NON,,6.3,6.36,3.97,62.6,55,None,GIA,MED to THK,50%,Light Brown,,Not milky,C Dinesh,-34.21%,1281,1281.25,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/9f907095-0685-4369-96d7-0f49d15e09c0.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1358094726.pdf,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41376,191401802,2344471829,ROUND,0.91,I,I3,VG,EX,VG,FNT,,6.06,6,3.89,64.5,57,NON,GIA,STK to THK,50%,Not brown,Not green,Not milky,C Dinesh,-34.00%,691,758.97,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/afb0fc24-8844-47f7-885b-8f91a0f0d3c2.jpg,http://www.pkstone.co.in/PK/CERTI/2344471829.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41377,196003201,2357094430,ROUND,1.11,F,I2,EX,EX,VG,FNT,,6.61,6.66,4.08,61.5,59,None,GIA,MED to STK,80%,Not brown,Not green,Not milky,C Dinesh,-40.26%,1563,1408.35,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f2539edd-c9ed-4c31-9c0e-9bc6accea185.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357094430.pdf,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41378,199603003,1347425044,ROUND,1.05,I,I2,VG,EX,VG,STG,Blue,6.57,6.48,3.95,60.6,65,NON,GIA,MED to THK,80%,Light Brown,,Not milky,C Dinesh,-41.50%,1259,1199.25,https://nivoda-images.s3.amazonaws.com/aHR0cDovL3d3dy5wa3N0b25lLmNvLmluL3ZpZGVvLmFzcHg/dnN0cj0xOTk2MDMwMDMmb3Y9dA==,199,https://nivoda-images.s3.eu-west-2.amazonaws.com/d132805f-17fb-429e-ba99-2af3da7a3153.jpg,http://www.pkstone.co.in/PK/CERTI/1347425044.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41379,191712401,1359094054,ROUND,1.02,K Faint Brown,I2,VG,EX,VG,FNT,,6.31,6.23,4.02,64.1,58,NON,GIA,STK to THK,50%,Light Brown,,Not milky,C Dinesh,-26.29%,1310,1284.32,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/cd3b3e5c-c765-486c-bdfb-adab8e13e071.jpg,,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41380,181903501,6345453503,ROUND,0.9,J,I2,GD,EX,VG,FNT,,6.04,5.96,3.99,66.5,53,NON,GIA,STK to VTK,50%,Light Brown,,Not milky,C Dinesh,-53.13%,663,736.33,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/0ce5b516-485f-4ca8-879c-f549fa2b05b7.jpg,http://www.pkstone.co.in/PK/CERTI/6345453503.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41381,162105301,2344167097,ROUND,0.9,D,I1,GD,EX,VG,FNT,,5.96,5.86,3.91,66.1,55,NON,GIA,STK to VTK,80%,Not brown,Not green,Not milky,C Dinesh,-64.97%,1133,1259.33,https://nivoda-images.s3.amazonaws.com/aHR0cDovL3d3dy5wa3N0b25lLmNvLmluL3ZpZGVvLmFzcHg/dnN0cj0xNjIxMDUzMDEmb3Y9dA==,199,https://nivoda-images.s3.eu-west-2.amazonaws.com/3fff4b53-c9d6-4e5d-b07d-0f3d268bedee.jpg,http://www.pkstone.co.in/PK/CERTI/2344167097.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41382,609900701,1335142612,ROUND,0.9,H,VS2,G,EX,VG,NON,,5.86,5.95,3.89,65.9,55,None,GIA,STK to VTK,100%,Not brown,Not green,Very Light Milky,C Dinesh,-57.93%,2096,2328.8,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/7228f3b2-1d62-452d-bc7f-b5820fd5490b.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1335142612.pdf,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41383,609400401,2336281196,EMERALD,2.02,D,SI1,-,EX,VG,STG,Blue,8.28,6.02,4.14,68.9,59,None,GIA,THK,100%,Not brown,Not green,Not milky,C Dinesh,-56.18%,10329,5113.26,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/1cff9850-e4ec-4558-beac-5e352b6903d0.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2336281196.pdf,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41384,613800702,6331779234,EMERALD,0.31,H,VVS1,-,EX,VG,NON,,4.39,3.29,2.28,69.2,61,NON,GIA,VTK,100%,Not brown,Not green,Not milky,C Dinesh,-45.81%,299,963.77,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/92d9c284-de3f-4016-b10c-328eb4636678.jpg,http://www.pkstone.co.in/PK/CERTI/6331779234.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41385,617404201,2336915701,ROUND,2,K,SI1,VG,VG,GD,FNT,,8.25,8.16,4.82,58.7,58,NON,GIA,STK to THK,100%,,,Very Light Milky,C Dinesh,-41.30%,7194,3597,https://nivoda-images.s3.amazonaws.com/aHR0cDovL3d3dy5wa3N0b25lLmNvLmluL3ZpZGVvLmFzcHg/dnN0cj02MTc0MDQyMDEmb3Y9dA==,199,https://nivoda-images.s3.eu-west-2.amazonaws.com/b4076191-d733-4a5b-a446-d6db00045c3b.jpg,http://www.pkstone.co.in/PK/CERTI/2336915701.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41386,616701702,2336954505,PRINCESS,0.4,F,VS2,-,EX,VG,NON,,4.15,4.12,2.92,70.8,69,NON,GIA,STK to THK,100%,Not brown,Not green,Not milky,C Dinesh,-46.70%,456,1141,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/46bcd427-7141-4808-88c4-90a698bba58a.jpg,http://www.pkstone.co.in/PK/CERTI/2336954505.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41387,615601102,2344288873,PEAR,0.5,F,VS1,-,VG,GD,MED,Blue,7.13,4.37,2.76,63.3,62,NON,GIA,THK to VTK,100%,Not brown,Not green,Not milky,C Dinesh,-48.38%,701,1402,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/03320ac7-c99b-4685-87bc-21a402d36f0f.jpg,http://www.pkstone.co.in/PK/CERTI/2344288873.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41388,617202701,7332801264,EMERALD,1,E,I1,-,EX,VG,VST,Blue,6.51,4.74,3.29,69.4,61,NON,GIA,THK to VTK,80%,Not brown,Not green,Not milky,C Dinesh,-72.52%,882,882,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ca2ac551-f7de-450a-a87e-4e5560931bc8.jpg,http://www.pkstone.co.in/PK/CERTI/7332801264.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41389,614500401,7338746739,ROUND,2,D,SI2,VG,EX,VG,VST,Blue,7.89,7.8,5.06,64.5,57,NON,GIA,STK to THK,80%,Not brown,Not green,Not milky,C Dinesh,-53.71%,10796,5398,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/de5b166d-72af-4a54-9391-479bce4eb484.jpg,http://www.pkstone.co.in/PK/CERTI/7338746739.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41390,L279018501,395975334,ROUND,0.51,F,VVS2,F,EX,GD,NON,,4.51,4.56,3.63,79.9,52,,IGI,Ex. Thick,100%,Not brown,Not green,Not milky,C Dinesh,-75.54%,517,1012.82,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/f1ae6831-24ac-40fd-a0d8-230acc35f145.jpg,http://www.pkstone.co.in/PK/CERTI/395975334.jpg,,,,HK,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41391,L279014201,7346189623,PRINCESS,0.5,E,SI2,-,EX,VG,NON,,4.25,4.24,3.19,75.2,71,NON,GIA,THK to VTK,80%,Not brown,Not green,Not milky,C Dinesh,-56.24%,490,979,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ade07954-c5e5-4eac-a13f-0a42fc249a39.jpg,http://www.pkstone.co.in/PK/CERTI/7346189623.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41392,R79316_1,1338213209,ROUND,1.31,H,VS1,EX,EX,EX,NON,,6.97,6.94,4.34,62.4,59,NON,GIA,MED to STK,100%,Not brown,,Not milky,Sanghvi Star HK,-25.41%,7381,5634.16,,,,,,,,HK,Y,993f74da-291d-47df-a006-8150fe101e01
41393,SR68777,2347520819,ROUND,1,I,VS1,EX,EX,EX,NON,,6.57,6.55,3.88,59.2,61,NON,GIA,THN to MED,100%,Not brown,,Not milky,Sanghvi Star HK,-28.60%,4611,4610.65,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/accd4caa-4dd9-431b-aaa4-25da6922c42a.jpg,,,,,HK,Y,993f74da-291d-47df-a006-8150fe101e01
41394,R68592,2201421965,ROUND,1.16,H,VVS2,EX,EX,EX,NON,,6.79,6.77,4.17,61.5,59,NON,GIA,MED to STK,100%,Not brown,,Not milky,Sanghvi Star HK,-37.20%,5675,4892.12,https://nivoda-images.s3.amazonaws.com/aHR0cDovL3d3dy5zYW5naHZpc29ucy5jb20vd29ybGRwcm9kdWN0ZGV0YWlscy9pbmRleC9SNjg1OTI=,256,https://nivoda-images.s3.eu-west-2.amazonaws.com/345628d0-d833-4215-9a4f-4650fcf459f4.jpg,http://www.sanghvisons.com/worldproductdetails/index/R68592,,,,HK,Y,993f74da-291d-47df-a006-8150fe101e01
41395,R68599,5201394519,ROUND,1.02,I,VVS1,EX,EX,EX,NON,,6.53,6.5,3.95,60.7,60,NON,GIA,MED to STK,100%,Not brown,,Not milky,Sanghvi Star HK,-36.00%,4483,4395.2,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/dd566ef6-cd50-41ed-8810-dc6dbb448081.jpg,http://certs.rapnet.com/UserFolders/52372/certs/R68599.jpg,,,,HK,Y,993f74da-291d-47df-a006-8150fe101e01
41396,R79083_1,6335103968,ROUND,1.08,H,SI1,EX,EX,EX,NON,,6.53,6.57,4.1,62.6,56,None,GIA,THN to MED,,Not brown,,Not milky,Sanghvi Star HK,-30.92%,4818,4460.83,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6335103968.pdf,,,,HK,Y,993f74da-291d-47df-a006-8150fe101e01
41397,613802002,1335815825,PRINCESS,0.31,E,IF,-,GD,VG,NON,,3.82,3.73,2.7,72.3,71,NON,GIA,THK,100%,Not brown,Not green,Not milky,C Dinesh,-50.48%,383,1235.77,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/fc775a49-8c39-4f39-b80b-c806faec238e.jpg,http://www.pkstone.co.in/PK/CERTI/1335815825.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41398,615002302,2337815922,EMERALD,0.31,H,VVS1,-,VG,VG,NON,,4.62,3.28,2.08,63.4,64,NON,GIA,THK to VTK,100%,Not brown,Not green,Not milky,C Dinesh,-45.81%,299,963.77,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/2e22277d-a813-47ba-b3c3-8e30012387d1.jpg,http://www.pkstone.co.in/PK/CERTI/2337815922.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41399,618100103,1359023227,OVAL,0.41,E,IF,-,EX,VG,NON,,5.99,4.25,2.56,60.2,62,NON,GIA,MED to VTK,100%,Not brown,Not green,Not milky,C Dinesh,-48.38%,644,1570.17,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/8d57e4c3-dc6a-4695-8c97-c5851154fe25.jpg,,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41400,618300102,1348124385,RADIANT,0.64,I,SI1,-,EX,EX,NON,,5.79,4.41,3.03,68.7,65,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,C Dinesh,-37.83%,746,1165.88,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/4ccceffc-729f-4455-b8b4-7e7ef63c0e55.jpg,http://www.pkstone.co.in/PK/CERTI/1348124385.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41401,L264003101,3345247710,TRIANGULAR,0.9,J,VVS2,-,EX,VG,MED,Blue,6.92,7.4,2.84,38.4,57,LGE,GIA,ETK,100%,Light Brown,,Not milky,C Dinesh,-76.76%,741,823.33,https://nivoda-images.s3.amazonaws.com/aHR0cDovL3d3dy5wa3N0b25lLmNvLmluL3ZpZGVvLmFzcHg/dnN0cj1MMjY0MDAzMTAxJm92PXQ=,199,https://nivoda-images.s3.eu-west-2.amazonaws.com/da08c6b7-5be5-4eac-a962-9d8c5a1e83b0.jpg,http://www.pkstone.co.in/PK/CERTI/3345247710.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41402,617003201,1333809538,ROUND,0.9,D,SI1,VG,EX,G,STG,Blue,5.93,6.11,3.87,64.3,55,None,GIA,MED to THK,100%,Not brown,Not green,Not milky,C Dinesh,-61.31%,2177,2419,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/870dfe14-643a-4be2-80c5-37c9b4720706.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1333809538.pdf,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41403,618301901,2346088976,ROUND,1,J,SI1,VG,VG,GD,NON,,6.29,6.21,3.99,63.8,54,NON,GIA,THK,80%,Not brown,Not green,Not milky,C Dinesh,-49.55%,2534,2533.8,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/068ba7c6-192b-4e1d-9863-7be623f5dc1b.jpg,http://www.pkstone.co.in/PK/CERTI/2346088976.jpg,,,,HK,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41404,212202801,1348035387,ROUND,1.08,E,I2,EX,EX,EX,STG,Blue,6.67,6.61,3.98,60,60,NON,GIA,MED to STK,50%,Not brown,Not green,Not milky,C Dinesh,-41.17%,1563,1447.3,https://nivoda-images.s3.amazonaws.com/aHR0cDovL3d3dy5wa3N0b25lLmNvLmluL3ZpZGVvLmFzcHg/dnN0cj0yMTIyMDI4MDEmb3Y9dA==,199,https://nivoda-images.s3.eu-west-2.amazonaws.com/3d52e6fd-d295-4f49-ac20-c1d97dd3eb3e.jpg,http://www.pkstone.co.in/PK/CERTI/1348035387.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41405,617801201,6345001943,ROUND,1,J,VS1,VG,EX,G,MED,Blue,6.27,6.44,3.94,62,64,None,GIA,ETN to THK,100%,Not brown,Not green,Not milky,C Dinesh,-51.45%,2737,2736.75,https://nivoda-images.s3.amazonaws.com/aHR0cDovL3d3dy5wa3N0b25lLmNvLmluL3ZpZGVvLmFzcHg/dnN0cj02MTc4MDEyMDEmb3Y9dA==,199,https://nivoda-images.s3.eu-west-2.amazonaws.com/94208a76-8ccf-4bc1-8110-bbd47f8fce67.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6345001943.pdf,,,,HK,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41406,L278036101,395975383,ROUND,0.51,F,VS1,F,EX,GD,FNT,,4.52,4.56,3.59,79,55,,IGI,Ex. Thick,100%,Not brown,Not green,Not milky,C Dinesh,-77.86%,448,877.82,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/06312ff2-0b28-499b-9881-0e1973bd4db4.jpg,http://www.pkstone.co.in/PK/CERTI/395975383.jpg,,,,HK,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41407,L278036801,1349303821,ROUND,0.5,F,I2,VG,EX,GD,NON,,4.98,4.86,3.19,64.8,56,NON,GIA,MED to THK,80%,Not brown,Not green,Not milky,C Dinesh,-58.23%,302,603,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/2a9bd55a-4029-4696-af18-3e6e89ea8e24.jpg,http://www.pkstone.co.in/PK/CERTI/1349303821.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41408,619707501,7348230687,CUSHION MODIFIED,1.05,H,SI1,-,EX,EX,MED,Yellow,5.74,5.61,3.88,69.1,59,NON,GIA,MED to VTK,100%,Not brown,Not green,Very Light Milky,C Dinesh,-54.83%,2333,2222.2,https://nivoda-images.s3.amazonaws.com/aHR0cDovL3d3dy5wa3N0b25lLmNvLmluL3ZpZGVvLmFzcHg/dnN0cj02MTk3MDc1MDEmb3Y9dA==,199,https://nivoda-images.s3.eu-west-2.amazonaws.com/d10ff55f-54ee-4066-a365-951d054528c9.jpg,http://www.pkstone.co.in/PK/CERTI/7348230687.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41409,620501102,6342682576,MARQUISE,0.33,E,VVS2,-,EX,GD,FNT,,7.55,3.6,2.16,60.1,61,NON,GIA,STK to VTK,100%,Not brown,Not green,Not milky,C Dinesh,-32.16%,455,1379.91,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/51e36b63-1791-456c-90af-8c872ba8f1db.jpg,http://www.pkstone.co.in/PK/CERTI/6342682576.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41410,620503601,6341437820,ROUND,1,H,I1,EX,EX,VG,VST,Blue,6.41,6.38,3.98,62.2,59,NON,GIA,MED to STK,80%,Not brown,Not green,Not milky,C Dinesh,-48.08%,1969,1969.02,https://nivoda-images.s3.amazonaws.com/aHR0cDovL3d3dy5wa3N0b25lLmNvLmluL3ZpZGVvLmFzcHg/dnN0cj02MjA1MDM2MDEmb3Y9dA==,199,https://nivoda-images.s3.eu-west-2.amazonaws.com/4dd7cbbc-3a81-46fe-a281-2d5da1baa88b.jpg,http://www.pkstone.co.in/PK/CERTI/6341437820.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41411,620008801,6345640820,HEART,0.7,E,SI2,-,EX,VG,NON,,5.34,6.33,3.57,56.4,59,NON,GIA,STK to VTK,100%,Not brown,Not green,Not milky,C Dinesh,-49.13%,1098,1568.86,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/fa6a6a90-6645-4a0e-987a-1d6328ed7161.jpg,http://www.pkstone.co.in/PK/CERTI/6345640820.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41412,L278036201,395975356,ROUND,0.54,F,VS1,F,VG,GD,FNT,,4.62,4.69,3.64,78.1,52,,IGI,Ex. Thick,100%,Not brown,Not green,Not milky,C Dinesh,-76.97%,490,907.56,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/510afe1e-b9be-4510-946a-da8f8587178c.jpg,http://www.pkstone.co.in/PK/CERTI/395975356.jpg,,,,HK,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41413,L278014302,5346286366,ROUND,0.23,I,VS2,EX,EX,EX,NON,,4.02,3.99,2.38,59.3,61,NON,GIA,MED,100%,Not brown,Not green,Not milky,C Dinesh,-17.26%,211,916.43,,,,http://www.pkstone.co.in/PK/CERTI/5346286366.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41414,L281039501,395975396,ROUND,0.5,F,VS1,F,EX,VG,VSL,,4.52,4.58,3.48,76.4,55.5,,IGI,Ex. Thick,100%,Not brown,Not green,Not milky,C Dinesh,-76.16%,471,942,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/e18396f2-50d5-4236-855b-16430952016c.jpg,http://www.pkstone.co.in/PK/CERTI/395975396.jpg,,,,HK,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41415,L284011901,1353216770,HEART,0.5,D,VS1,-,EX,VG,NON,,4.69,5.48,3.24,59,58,None,GIA,STK to THK,100%,Not brown,Not green,Not milky,C Dinesh,-45.30%,851,1701,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/97214b50-94e8-4f75-8f4d-83dc1773709f.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1353216770.pdf,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
41416,620002201,2347418419,ROUND,1,I,I2,GD,VG,VG,MED,Blue,6.21,6.13,4.02,65.2,56,NON,GIA,STK to VTK,80%,Not brown,Not green,Not milky,C Dinesh,-29.95%,1436,1436.03,https://nivoda-images.s3.amazonaws.com/aHR0cDovL3d3dy5wa3N0b25lLmNvLmluL3ZpZGVvLmFzcHg/dnN0cj02MjAwMDIyMDEmb3Y9dA==,199,https://nivoda-images.s3.eu-west-2.amazonaws.com/6bd85924-db86-4be1-8cba-a79a1a3e25ff.jpg,http://www.pkstone.co.in/PK/CERTI/2347418419.jpg,,,,IN,Y,361ee43e-a3e1-450e-8ff3-86f24d736d59
