id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
19819,10456,6351199679,ROUND,0.75,K,VS2,EX,EX,EX,FNT,,5.87,5.91,3.58,60.8,60,None,GIA,MED,,,,,SHINE JEWELS,-32.80%,1240,1653.12,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6351199679.pdf,,,,HK,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
19820,9443,1348828502,ROUND,0.7,F,VS2,EX,EX,VG,NON,,5.7,5.72,3.49,61.1,60,None,GIA,MED to STK,,,,,SHINE JEWELS,-39.10%,2010,2871.43,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1348828502.pdf,,,,HK,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
19821,10508,3235388429,ROUND,0.74,D,VVS1,EX,EX,EX,STG,Blue,5.77,5.73,3.6,62.6,57,NON,GIA,MED to STK,100%,,,,SHINE JEWELS,-50.00%,2465,3331.24,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2016/8/4/3235388429.pdf,,,,HK,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
19822,EI-9,2356384650,ROUND,2,I,SI2,EX,EX,EX,NON,,8.07,8.12,5,61.7,59,None,GIA,MED to STK,100%,Not brown,Not green,,African star (hk) ltd,-37.00%,10356,5178,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2356384650.pdf,,,,HK,N,f6e0efcb-9b29-42a6-9721-b7322986b542
19823,VW16893376030,6355350909,ROUND,0.52,F,VVS1,EX,EX,VG,MED,Blue,5.12,5.15,3.22,62.7,55,None,GIA,MED to STK,100%,,,,China Star ,-47.77%,1171,2251.35,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6355350909.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19824,BB16829286119,6355353167,ROUND,0.53,D,VVS1,EX,EX,EX,MED,Blue,5.24,5.26,3.21,61.1,55,None,GIA,MED to STK,100%,,,,China Star ,-51.00%,1384,2611.7,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6355353167.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19825,BB16829286119,6355353167,ROUND,0.53,D,VVS1,EX,EX,EX,MED,Blue,5.24,5.26,3.21,61.1,55,None,GIA,MED to STK,100%,,,,China Star ,-51.00%,1384,2611.7,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6355353167.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19826,LD19100984,2337870682,PEAR,1,E,SI1,-,EX,EX,NON,,8.19,5.39,3.63,67.3,56,NON,GIA,THK to ETK,100%,Not brown,Not green,Not milky,Laxmi,-52.54%,2773,2772.72,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTAwOTg0,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/1a8c002e-fbea-4b0f-8b65-ed2e3badec4c.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19100984.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
19827,RU18022233195,6355355856,ROUND,0.5,F,VS1,VG,VG,VG,NON,,4.93,4.97,3.17,64.1,59,None,GIA,MED to THK,100%,,,,China Star ,-47.14%,1008,2015.82,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6355355856.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19828,AQ17400950740,6355343796,ROUND,0.3,F,SI1,VG,EX,EX,NON,,4.19,4.21,2.7,64.2,58,None,GIA,STK to THK,,,,,China Star ,-42.65%,340,1132.3,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6355343796.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
