id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
6573,RP17400949407,2356123336,ROUND,0.4,E,VS1,EX,EX,VG,NON,,4.67,4.71,2.95,62.8,57,None,GIA,THN to MED,100%,,,,China Star ,-45.85%,615,1537.05,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2356123336.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
6574,LD19106925,6332973094,ROUND,0.27,D,VS2,EX,EX,EX,FNT,,4.16,4.15,2.57,62,59,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-1.00%,402,1487.19,,,,https://www.laxmidiamond.com/certifiedstone/certificate/LD19106925.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6575,EI-17A,7358391055,ROUND,0.5,H,VS2,VG,EX,EX,NON,,5.13,5.16,3.07,59.7,58,Very Small,GIA,MED to STK,100%,Not brown,Not green,,African star (hk) ltd,-42.00%,929,1858,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7358391055.pdf,,,,HK,N,f6e0efcb-9b29-42a6-9721-b7322986b542
6576,LD19105989,1335955232,ROUND,0.29,D,VVS1,EX,EX,EX,NON,,4.22,4.18,2.65,63,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,26.00%,596,2056.45,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/522fb7f3-46df-4e50-aebc-5bd0890d0184.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19105989.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6577,CP07740417245,2357045162,ROUND,0.5,D,VS1,VG,EX,VG,NON,,4.95,5.02,3.16,63.4,57,None,GIA,MED to THK,100%,,,,China Star ,-53.92%,998,1995.36,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357045162.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
6578,LD19106442,6331970216,ROUND,0.26,F,VVS1,EX,EX,EX,NON,,4.16,4.15,2.49,59.9,61,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,16.00%,497,1913.35,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/db01b53c-daab-43ef-9bf2-359b8aa96d22.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19106442.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6579,LU04033141706,2357097834,ROUND,0.5,H,VS2,VG,VG,VG,NON,,4.95,4.99,3.2,64.4,58,None,GIA,MED to THK,,,,,China Star ,-43.04%,913,1825.76,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357097834.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
6580,PD-71,2347327519,ROUND,0.35,H,SI2,EX,EX,EX,MED,Blue,4.51,4.54,2.77,61.2,59,None,GIA,MED to STK,,Not brown,,Not milky,Super Solitaire Hk Ltd,-34.40%,374,1069.71,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347327519.pdf,,,,HK,N,3ccba1c2-3018-4066-8aaa-e73401d0c3d4
6581,LD19093082,7338795737,ROUND,0.25,E,VVS1,EX,EX,EX,NON,,4.04,4.02,2.51,62.3,56,NON,GIA,MED,100%,Not brown,Not green,Not milky,Laxmi,19.00%,491,1964.52,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/abf7326e-718d-4136-acf4-a5082076701c.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19093082.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6582,HK1435708,7352038032,ROUND,0.42,K,SI2,EX,EX,EX,FNT,,4.77,4.74,2.97,62.6,59,NON,GIA,THN to STK,90%,,,Not milky,Hari Krishna,-42.84%,342,814.55,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/fabb6b96-b100-42e2-bf6d-74d1a78b4893.jpg,,,,,HK,N,1d8066ed-4b96-490d-9dd5-e68a649fd592
6583,HKHK1319445,7333906955,ROUND,0.5,J,SI2,EX,VG,EX,NON,,5.1,5.08,3.16,62,56,NON,GIA,MED to STK,100%,,,Not milky,Hari Krishna,-43.10%,599,1198.06,,,,https://diamanti.s3.amazonaws.com/certificates/7333906955.jpg,,,,HK,N,1d8066ed-4b96-490d-9dd5-e68a649fd592
6584,HK1435649,7348728900,ROUND,0.51,I,VVS1,EX,EX,EX,NON,,5.07,5.1,3.19,62.7,56,None,GIA,MED to STK,100%,,,Not milky,Hari Krishna,-37.46%,987,1934.98,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7348728900.pdf,,,,HK,N,1d8066ed-4b96-490d-9dd5-e68a649fd592
