id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
23436,79979,5343910874,HEART,1.01,E,VVS1,-,EX,EX,NON,,5.83,6.82,4.25,62.3,59,None,GIA,STK to THK,100%,Not brown,,Not milky,Sagar Enterprise,-44.99%,5182,5130.94,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/156461ff-3812-437c-9c1c-ee15f850e081.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5343910874.pdf,,,,IN,N,e8af6b4d-0eb8-49f9-869b-c5420a3a0cea
23437,80724,7356223815,RADIANT,0.71,E,SI1,-,EX,EX,FNT,,6.03,4.6,3.18,69.2,70,None,GIA,MED,,Not brown,,Not milky,Sagar Enterprise,-47.88%,1365,1923.2,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/45b23ac1-b489-4c4b-8f49-6474c9ec70fe.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7356223815.pdf,,,,IN,N,e8af6b4d-0eb8-49f9-869b-c5420a3a0cea
23438,LD20034918,6352351817,ROUND,0.52,E,VVS2,EX,EX,EX,NON,,5.13,5.14,3.2,62.3,56,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-34.00%,1477,2841.31,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9jZXJ0aWZpZWRzdG9uZS5pbmZvL3ZpZXdlci92aXNpb24zNjAuaHRtbD9kPUxEMjAwMzQ5MTg=,128,https://nivoda-images.s3.eu-west-2.amazonaws.com/e11c9db8-23d9-498c-9f09-7352a4f60535.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352351817.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23439,10055,2203788165,ROUND,0.33,E,VVS1,EX,EX,EX,FNT,,4.52,4.5,2.72,60.4,60,NON,GIA,MED,100%,,,,SHINE JEWELS,-19.58%,720,2181.82,,,,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2019/12/10/2203788165.pdf,,,,HK,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
23440,LD19127948,2346485959,ROUND,0.26,D,VS1,EX,EX,EX,NON,,4.08,4.07,2.53,62.1,57,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,11.00%,431,1658.23,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/0199c070-382a-4071-a8ac-209a384c0027.jpg,https://certifiedstone.info/certificate/LD19127948.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23441,LD20035007,6352373851,ROUND,0.37,E,VVS1,EX,EX,EX,NON,,4.59,4.6,2.87,62.5,57,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-19.50%,804,2174.08,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/dcf94717-0e01-4a99-9bcc-2dde335dd9ce.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352373851.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23442,LD19082475,6335500737,CUSHION MODIFIED,0.52,I,VVS2,-,VG,VG,NON,,4.61,4.61,3.11,67.4,61,NON,GIA,MED to THK,100%,Not brown,Not green,Not milky,Laxmi,-51.68%,558,1072.31,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MDgyNDc1,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/f392ca37-251a-4bb0-a09c-b05f05f9c88e.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19082475.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
23443,11439,2205606243,ROUND,0.29,D,FL,EX,EX,EX,NON,,4.3,4.31,2.56,59.4,60,None,GIA,MED to STK,100%,,,,SHINE JEWELS,124.39%,1039,3581.48,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2205606243.pdf,,,,unknown,N,2bb51c57-0198-47e4-9d49-dd627fe5f008
23444,FV17020979913,2346196168,ROUND,1.01,F,SI2,VG,EX,VG,MED,Blue,6.18,6.25,4.01,64.6,57,None,GIA,STK to THK,,,,,China Star ,-56.34%,2667,2640.34,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2346196168.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
23445,LD19083409,2338521000,ROUND,0.2,E,VS1,EX,EX,EX,NON,,3.85,3.83,2.28,59.5,60,NON,GIA,MED,100%,Not brown,Not green,Not milky,Laxmi,9.00%,281,1403.45,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/e3e065b6-2607-44e3-873f-d7bb76c0b69a.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19083409.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
