id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
30021,LD19128057,1345509699,EMERALD,0.5,E,SI2,-,EX,VG,FNT,,5.08,3.7,2.58,69.7,67,None,GIA,THK to VTK,100%,Not brown,Not green,Not milky,Laxmi,-50.00%,555,1110,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/4e0bb302-c137-4f83-9f84-28e8714488a6.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1345509699.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
30022,LD20020898,1348874759,ROUND,0.61,E,VS2,EX,EX,EX,NON,,5.41,5.44,3.4,62.7,57,None,GIA,MED,100%,Not brown,Not green,Not milky,Laxmi,-28.00%,1621,2656.8,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/0c8d0dc2-813c-4000-8a01-c320addd1021.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1348874759.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
30023,LD19127122,2344469086,ROUND,0.35,D,VVS2,EX,EX,EX,FNT,,4.46,4.47,2.8,62.6,57,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-34.00%,631,1801.71,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/eb278048-f64c-4c79-8c36-1f43314b294e.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2344469086.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
30024,LD20010278,7343511045,PEAR,0.51,D,SI1,-,VG,VG,NON,,6.82,4.5,2.82,62.6,57,None,GIA,MED to VTK,100%,Not brown,Not green,Not milky,Laxmi,-45.00%,731,1433.82,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/63ed824c-e443-492e-af58-0d3246f94402.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7343511045.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
30025,LD19126832,5346503959,ROUND,0.81,F,VS1,EX,EX,EX,FNT,,5.9,5.94,3.7,62.4,59,None,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-30.00%,2848,3515.75,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/eaca3a53-bd68-4e7e-b334-c6126388d797.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5346503959.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
30026,LD20020794,3345873403,ROUND,0.3,F,VVS2,VG,EX,EX,FNT,,4.23,4.25,2.69,63.5,58,None,GIA,MED to THK,100%,Not brown,Not green,Not milky,Laxmi,-42.50%,427,1422.5,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/5cad635e-bfa3-4338-887d-1396301b6b8a.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/3345873403.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
30027,100258-GB,7303745221,ROUND,0.5,I,VS2,VG,EX,GD,NON,,4.99,4.9,3.18,64.4,58,NON,GIA,VTN to THK,,,,,Vaishali Gems,-49.00%,719,1437,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly9zZWdvbWEuY29tL3YuYXNweD90eXBlPXZpZXcmaWQ9MFlLRTI5WVZKWA==,64,,TRUE,,,,HK,Y,0f73b5bb-6b58-4f06-964b-d20097ee9d3b
30028,58268-GB,6325437938,ROUND,0.5,D,VS1,F,VG,VG,NON,,4.71,4.79,3.35,70.6,56,None,GIA,THK to VTK,100%,,,,Vaishali Gems,-61.80%,832,1664.4,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6325437938.pdf,,,,HK,Y,0f73b5bb-6b58-4f06-964b-d20097ee9d3b
30029,80075,3345980571,ROUND,0.23,D,VVS1,EX,EX,EX,FNT,,4.01,4.04,2.37,58.9,60,None,GIA,MED to STK,100%,Not brown,,Not milky,Sagar Enterprise,17.41%,449,1950.3,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/3345980571.pdf,,,,HK,N,e8af6b4d-0eb8-49f9-869b-c5420a3a0cea
30030,58-1-A,1.90E+11,OVAL,3.01,J,SI2,-,EX,EX,NON,,11.1,8.17,5.21,63.8,56,0,HRD,THK,,,,,Paladiya Brothers & co,-47.58%,12457,4138.59,,,,,,,,HK,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
